customer_id,first_name,last_name,gender,city,state
1,Ishani,Bali,Male,Adoni,Kerala
2,Faris,Naik,Male,Tirupati,Meghalaya
3,Jeremiah,Bal,Female,Berhampur,Punjab
4,Kamala,Pathak,Male,Malegaon,Kerala
5,Ekta,Divan,Male,Sangli-Miraj & Kupwad,Rajasthan
6,Yashica,Dar,Male,Davanagere,Telangana
7,Quincy,Krishnamurthy,Male,South Dumdum,Karnataka
8,Anvi,Sawhney,Male,Hindupur,Andhra Pradesh
9,Dominic,Kothari,Female,Tiruppur,Goa
10,Divya,Vala,Male,Pimpri-Chinchwad,Goa
11,Veer,Wason,Male,Gudivada,Sikkim
12,Jeevika,Parsa,Male,Meerut,Haryana
13,Warinder,Butala,Male,Firozabad,Goa
14,Azaan,Bhandari,Male,Kadapa,Kerala
15,Tamanna,Sani,Male,Anand,Uttar Pradesh
16,Gaurav,Varughese,Male,Bhalswa Jahangir Pur,Telangana
17,Agastya,Dhillon,Female,Thiruvananthapuram,Bihar
18,Neelima,Sodhi,Male,Bangalore,West Bengal
19,Pratyush,Dani,Female,Sagar,Meghalaya
20,Udarsh,Joshi,Female,Erode,Bihar
21,Charles,Ganguly,Male,Vijayanagaram,Rajasthan
22,Teerth,Kunda,Male,Ambala,Haryana
23,Indrajit,Rao,Female,Sikar,Karnataka
24,Chaman,Tank,Female,Orai,Rajasthan
25,Urvi,Mangat,Female,Phagwara,Andhra Pradesh
26,Vaishnavi,Dube,Male,Mangalore,Himachal Pradesh
27,Janani,Mitter,Male,Nagpur,Kerala
28,Varenya,De,Female,Patna,Mizoram
29,Yauvani,Murty,Male,Katni,Gujarat
30,Vritti,Madan,Male,Kamarhati,Odisha
31,Jeet,Ramanathan,Female,Vijayanagaram,Tripura
32,Panini,Tandon,Male,Agartala,Telangana
33,Yadavi,Shroff,Female,Sonipat,Mizoram
34,Anjali,Khare,Female,Kirari Suleman Nagar,Goa
35,Finn,Madan,Female,Hajipur,Nagaland
36,Chatresh,Bhalla,Male,Bongaigaon,Mizoram
37,Gopal,Bedi,Female,Bharatpur,Gujarat
38,Aradhana,Raghavan,Male,Singrauli,Arunachal Pradesh
39,Dev,Bobal,Female,Jalandhar,Karnataka
40,Finn,Ahuja,Male,Panipat,Telangana
41,Forum,Karpe,Female,New Delhi,Assam
42,Jack,Raghavan,Female,Panvel,Goa
43,Harita,Borra,Male,Hindupur,Haryana
44,Nathan,Modi,Male,Haldia,Nagaland
45,Garima,Murty,Male,Ajmer,Haryana
46,Nidhi,Magar,Male,Bhilai,Rajasthan
47,Samar,Kaur,Female,Nandyal,Andhra Pradesh
48,Upma,Manne,Male,Kakinada,Uttar Pradesh
49,Laban,Uppal,Male,New Delhi,Maharashtra
50,Teerth,Kant,Male,Kishanganj,Telangana
51,Manthan,Hayer,Female,Sultan Pur Majra,West Bengal
52,Mason,Grewal,Female,Kharagpur,Madhya Pradesh
53,Ikshita,Rajagopal,Female,Coimbatore,Andhra Pradesh
54,Yagnesh,Majumdar,Female,Chapra,Nagaland
55,Mason,Bahri,Male,Mathura,Kerala
56,Pratyush,Chacko,Female,Guna,Arunachal Pradesh
57,Manbir,Magar,Female,Guntur,Meghalaya
58,Ryan,Randhawa,Male,Ichalkaranji,Bihar
